from_entity,from_name,to_entity,to_name,straight_line_distance_m,walkable,estimated_walking_time_min,obstacle_notes,requires_human_confirmation
OSM_RAIL_5274260962,Guduvancheri,OSM_BUS_1145642404,Guduvancheri MTC Terminus,452.9,unverified_walking_transfer,6.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5274260962,Guduvancheri,GTFS_STOP_6296,Guduvancheri Bus Terminus,438.5,unverified_walking_transfer,5.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5274761659,Korattur,GTFS_STOP_6879,Korattur Bus Terminus,240.4,unverified_walking_transfer,3.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5274761659,Korattur,GTFS_STOP_6882,Korattur Bus Terminus,170.3,unverified_walking_transfer,2.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5275790188,Chennai Egmore,OSM_RAIL_5329907499,Egmore,342.2,unverified_walking_transfer,4.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5276205560,Perambur,OSM_BUS_311284385,Perambur MTC Terminus,426.2,unverified_walking_transfer,5.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5276205560,Perambur,GTFS_STOP_6839,Perambur Bus Terminus,425.7,unverified_walking_transfer,5.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5276205560,Perambur,GTFS_STOP_6835,Perambur Bus Terminus,422.0,unverified_walking_transfer,5.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5286945822,Tambaram,OSM_BUS_340088810,Tambaram MTC Terminus,136.9,unverified_walking_transfer,1.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5286945822,Tambaram,OSM_BUS_340088821,Tambaram East MTC Terminus,260.0,unverified_walking_transfer,3.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5286945822,Tambaram,OSM_BUS_442132009,Tambaram Bus Stand,232.1,unverified_walking_transfer,3.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5286998286,Tiruninravur,OSM_BUS_6354463623,Tiruninravur Bus Stand,299.0,unverified_walking_transfer,4.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311732501,Wimco Nagar,OSM_RAIL_8430636713,Wimco Nagar,208.6,unverified_walking_transfer,2.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311732501,Wimco Nagar,OSM_RAIL_8477103052,Wimco Nagar,211.3,unverified_walking_transfer,2.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311732501,Wimco Nagar,OSM_RAIL_8477103098,Wimco Nagar,205.8,unverified_walking_transfer,2.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311755234,Thirumayilai,OSM_RAIL_14018223531,Thirumayilai Metro,160.2,unverified_walking_transfer,2.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311755235,Mandaveli,GTFS_STOP_6,Mandaveli Bus Terminus,127.3,unverified_walking_transfer,1.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311755240,Taramani,GTFS_STOP_8705,Taramani Metro Station,206.1,unverified_walking_transfer,2.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311755240,Taramani,GTFS_STOP_8706,Taramani Metro Station,224.9,unverified_walking_transfer,3.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5337658099,Washermanpet,OSM_RAIL_6460934200,Washermanpet,169.2,unverified_walking_transfer,2.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_5350,Thiruvottriyur Depot,92.4,unverified_walking_transfer,1.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_7576,Thiruvottriyur Bus Terminus,391.6,unverified_walking_transfer,5.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9592492231,Anna Nagar East,GTFS_STOP_10901,Anna Nagar East Depot,440.1,unverified_walking_transfer,5.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9857416360,Wimco Nagar Depot,OSM_BUS_9857416360,Wimco Nagar Depot,0.0,unverified_walking_transfer,0.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9857416360,Wimco Nagar Depot,GTFS_STOP_CMRL_01,Wimco Nagar Depot,0.0,unverified_walking_transfer,0.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_11822901092,Kilambakkam,GTFS_STOP_10876,Kilambakkam Depot,353.4,unverified_walking_transfer,4.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_11822901092,Kilambakkam,GTFS_STOP_9991,Kilambakkam Bus Terminus,242.4,unverified_walking_transfer,3.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_11822901092,Kilambakkam,GTFS_STOP_9992,Kilambakkam Bus Terminus,164.7,unverified_walking_transfer,2.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972488427,Poonamallee Bus Stand Metro,GTFS_STOP_5821,Poonamallee Bus Terminus,100.9,unverified_walking_transfer,1.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972514096,Iyappanthangal Metro,OSM_BUS_370969659,Ayyapanthangal,43.6,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_5925,Iyyappanthangal Bus Terminus,76.4,unverified_walking_transfer,1.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_14023022804,Madhavaram Depot,OSM_BUS_14023022804,Madhavaram Depot,0.0,unverified_walking_transfer,0.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_14178350594,Madhavaram Bus Terminal Metro,OSM_BUS_10848041900,Madhavaram Mofussil Bus Terminus,115.1,unverified_walking_transfer,1.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
GTFS_STOP_10901,Anna Nagar East Depot,GTFS_STOP_9741,Anna Nagar East Metro Station,436.0,unverified_walking_transfer,5.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6932,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481258999,Chennai Park,54.7,unverified_walking_transfer,0.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6930,Egmore Metro,OSM_RAIL_5275790188,Chennai Egmore,146.4,unverified_walking_transfer,2.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6727,New Washermenpet Metro,GTFS_STOP_5352,Tondairpet-2 Depot,77.9,unverified_walking_transfer,1.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_7090,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481258999,Chennai Park,54.7,unverified_walking_transfer,0.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6675,Chennai International Airport,OSM_RAIL_4885083053,Tirusulam,176.3,unverified_walking_transfer,2.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,129.1,unverified_walking_transfer,1.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,OSM_BUS_11598619872,Bus to Mamallapuram,108.5,unverified_walking_transfer,1.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_687175415,சென்னை புறநகர் பேருந்து நிலையம்,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,140.9,unverified_walking_transfer,1.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_5329907502,Central Metro,143.6,unverified_walking_transfer,1.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857250,Central Metro,137.7,unverified_walking_transfer,1.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857251,Central Metro,139.5,unverified_walking_transfer,1.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857252,Central Metro,141.8,unverified_walking_transfer,1.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_2481258999,Chennai Park,OSM_RAIL_6285857253,Central Metro,140.4,unverified_walking_transfer,1.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_3264712327,Guindy,OSM_RAIL_5321248425,கிண்டி,82.0,unverified_walking_transfer,1.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_3264712327,Guindy,OSM_RAIL_6285857247,கிண்டி,86.0,unverified_walking_transfer,1.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_3264712327,Guindy,OSM_RAIL_6285857248,கிண்டி,85.0,unverified_walking_transfer,1.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_4221752111,Saint Thomas Mount,OSM_RAIL_9592492217,பரங்கிமலை,110.9,unverified_walking_transfer,1.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_4221752111,Saint Thomas Mount,OSM_RAIL_9592492218,பரங்கிமலை,114.1,unverified_walking_transfer,1.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_4885083053,Tirusulam,OSM_RAIL_5319207344,சென்னை விமான நிலையம்,177.9,unverified_walking_transfer,2.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_4885083053,Tirusulam,OSM_RAIL_6285857240,சென்னை விமான நிலையம்,181.5,unverified_walking_transfer,2.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_4885083053,Tirusulam,OSM_RAIL_6285857241,Chennai International Airport,176.7,unverified_walking_transfer,2.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_4885083053,Tirusulam,GTFS_STOP_10971,Airport Metro,224.6,unverified_walking_transfer,3.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5311755234,Thirumayilai,OSM_BUS_243060332,மைலாப்பூர்,223.4,unverified_walking_transfer,3.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5321248424,சின்னமலை,GTFS_STOP_5346,Saidapet Depot,111.9,unverified_walking_transfer,1.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5321248425,கிண்டி,GTFS_STOP_1461,Guindy Bus Terminus,196.7,unverified_walking_transfer,2.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5321248890,CMBT,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,123.9,unverified_walking_transfer,1.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5321248890,CMBT,OSM_BUS_11598619872,Bus to Mamallapuram,103.2,unverified_walking_transfer,1.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_5321248890,CMBT,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,135.4,unverified_walking_transfer,1.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6285857245,சின்னமலை,GTFS_STOP_5346,Saidapet Depot,118.6,unverified_walking_transfer,1.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6285857246,சின்னமலை,GTFS_STOP_5346,Saidapet Depot,112.4,unverified_walking_transfer,1.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6285857247,கிண்டி,OSM_BUS_3264888779,Guindy Bus Stand,248.3,unverified_walking_transfer,3.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6285857247,கிண்டி,GTFS_STOP_1461,Guindy Bus Terminus,194.2,unverified_walking_transfer,2.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6285857248,கிண்டி,OSM_BUS_3264888779,Guindy Bus Stand,249.4,unverified_walking_transfer,3.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6285857248,கிண்டி,GTFS_STOP_1461,Guindy Bus Terminus,195.5,unverified_walking_transfer,2.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6397600715,வண்ணாரப்பேட்டை,OSM_RAIL_6460934200,Washermanpet,154.5,unverified_walking_transfer,2.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_6397600716,வண்ணாரப்பேட்டை,OSM_RAIL_6460934200,Washermanpet,159.8,unverified_walking_transfer,2.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8430636714,Thiruvottriyur,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,44.5,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,44.4,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8430636714,Thiruvottriyur,GTFS_STOP_10540,Thiruvottiyur Ajax Bus Depot,47.3,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8430636716,சுங்கச்சாவடி,GTFS_STOP_10931,Toll Gate Terminus,68.4,unverified_walking_transfer,0.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103055,திருவொற்றியூர்,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,45.8,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103055,திருவொற்றியூர்,GTFS_STOP_5350,Thiruvottriyur Depot,93.9,unverified_walking_transfer,1.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103055,திருவொற்றியூர்,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,45.8,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103055,திருவொற்றியூர்,GTFS_STOP_10540,Thiruvottiyur Ajax Bus Depot,46.9,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103081,சுங்கச்சாவடி,GTFS_STOP_10931,Toll Gate Terminus,67.8,unverified_walking_transfer,0.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103095,சுங்கச்சாவடி,GTFS_STOP_10931,Toll Gate Terminus,69.1,unverified_walking_transfer,0.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103097,திருவொற்றியூர்,OSM_BUS_1391573897,Thirovttriyur MTC Terminus,43.8,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103097,திருவொற்றியூர்,GTFS_STOP_5350,Thiruvottriyur Depot,91.3,unverified_walking_transfer,1.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103097,திருவொற்றியூர்,GTFS_STOP_10539,Thiruvottiyur Ajax Bus Depot,43.4,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_8477103097,திருவொற்றியூர்,GTFS_STOP_10540,Thiruvottiyur Ajax Bus Depot,48.1,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,128.8,unverified_walking_transfer,1.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,OSM_BUS_11598619872,Bus to Mamallapuram,107.9,unverified_walking_transfer,1.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9592492226,சென்னை புறநகர் பேருந்து நிலையம்,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,139.0,unverified_walking_transfer,1.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9853600043,விம்கோ நகர் டிப்போ,OSM_BUS_9857416360,Wimco Nagar Depot,5.4,unverified_walking_transfer,0.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_9853600043,விம்கோ நகர் டிப்போ,GTFS_STOP_CMRL_01,Wimco Nagar Depot,5.4,unverified_walking_transfer,0.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972488427,Poonamallee Bus Stand Metro,OSM_BUS_248454339,Poonamallee MTC Terminus,26.7,unverified_walking_transfer,0.4,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_5334,Iyyapanthangal Depot,134.8,unverified_walking_transfer,1.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_5926,Iyyappanthangal Bus Depot,14.6,unverified_walking_transfer,0.2,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_13972514096,Iyappanthangal Metro,GTFS_STOP_10224,Iyyappanthangal Bus Depot,45.8,unverified_walking_transfer,0.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_14178350594,Madhavaram Bus Terminal Metro,OSM_BUS_10951379007,"Madhavarm APSRTC , TNSTC Bus Terminus",63.8,unverified_walking_transfer,0.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_RAIL_14178350594,Madhavaram Bus Terminal Metro,GTFS_STOP_10925,M.M.B.T Madhavarm Bus Terminus,75.0,unverified_walking_transfer,1.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
OSM_BUS_3264888779,Guindy Bus Stand,GTFS_STOP_9011,Guindy Metro Station,243.9,unverified_walking_transfer,3.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
GTFS_STOP_9050,Little Mount Metro,GTFS_STOP_5346,Saidapet Depot,225.0,unverified_walking_transfer,3.0,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
GTFS_STOP_1461,Guindy Bus Terminus,GTFS_STOP_9011,Guindy Metro Station,189.6,unverified_walking_transfer,2.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6932,Puratchi Thalaivar Dr. M.G.Ramachandran Central Metro,OSM_RAIL_2481258995,Chennai Park Town,418.0,unverified_walking_transfer,5.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,OSM_BUS_4546369389,Paulo bus stand,310.7,unverified_walking_transfer,4.1,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,OSM_BUS_306104406,Puratchi Thalaivar Dr. M.G.R Bus Terminus,356.7,unverified_walking_transfer,4.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,OSM_BUS_5318548733,SRM Travels,289.3,unverified_walking_transfer,3.9,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,OSM_BUS_10980207100,Koyambedu Mofussil Bus Terminal,427.6,unverified_walking_transfer,5.7,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,OSM_BUS_11598619872,Bus to Mamallapuram,335.7,unverified_walking_transfer,4.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6912,Puratchi Thalaivi Dr.J.Jayalalithaa CMBT Metro,GTFS_STOP_5822,M.G.R.Koyambedu Bus Terminus,363.3,unverified_walking_transfer,4.8,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6910,Arumbakkam,GTFS_STOP_10924,M.M.D.A.Colony Terminus,418.0,unverified_walking_transfer,5.6,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6733,Thiruvottriyur Theradi Metro,OSM_RAIL_5311732459,Tiruvottiyur,415.2,unverified_walking_transfer,5.5,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
CMRL_API_6729,Tollgate Metro,GTFS_STOP_10931,Toll Gate Terminus,323.4,unverified_walking_transfer,4.3,Straight line distance; requires pedestrian network check for tracks/highways/walls.,True
